,,,,,,,,,,,,,,,,,
,Wolves,Elk,Cottron Wood,Berry Trees,Grass,Bears,Land (fertility),Birds,River (quality),Beaver,Dam,Fish,Other Animals,Cattle,Rangers/Ranchers,Visitors,Park Revenue
Wolves,0,-0.25,0,0,0,0,0.5,0.1,0,0,0,0,-1,-0.25,0,5,0
Elk,4,0,-0.1,-0.1,-10,1,1,0,0,0,0,0,0,0,0,0,0
Cotton Wood,0,10,0,0,0,0,-0.01,10,0.1,0,0,0,2,0,0,0,0
Berry Trees,0,10,0,0,0,0.1,-0.01,10,0,0,0,0,2,0,0,0,0
Grass,0,0.1,0,0,0,0,-0.001,0.1,0,0,0,0,0,0,0,0,0
Bears,0,-1,0,0.2,0,0,0.2,0.1,0,0,0,-10,-2,0,0,1,0
Land (fertility),0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0
Birds,0,0,0,0.01,0,0,0.01,0,0,0,0,0,1,0,0,0.1,0
River (quality),1,0.1,0.1,0.1,0,1,0.1,1,0,5,0,20,2,0,0,0,0
Beaver,0,0,0,0,0,0,0,0,0,0,2,0,0.1,0,0,0,0
Dam,0,0,0,0,0,0,0.1,1,2,0,0,5,0,0,0,0,0
Fish,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0.5,0,0,0,0
Other Animals,1,0,-0.05,-0.05,-1,0.5,0,0.05,0,0,0,-2,0,0,0,0,0
Cattle,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0
Ranchers/Rangers,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Visitors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Park Revenue,0.1,0,0,0,0,0.05,0,0,0.1,0,0,0,0,0,0,0.01,0
